,100772151,209941219,226756136,233597102,233599102,288849950,295178666,295324170,353362718,374863837,374864624,374888107,382847457,384258646,384942109,384942362,395484920,395484920,395484921,396084755,407838592,409186948,409186959,44487079,454607098,470792709,540394724,540394725,540394726,540394727,540394728,540394729,540394730,557792226,557792271,557792313,595240534,6321155,672643290,672819688,687695028,7733144,776314785,844938995,845940576,849414603,849416727,854411966,874961578,894490826,899088422,901532567,9098811,920702707,921138593,924590660,925790606
G06002300102002,13.98,,,,,9.48,,8.95,,,,,,12.87,8.51,,,,,9.44,,1.51,1.51,,1.51,,,,,,,,,,,,,,,,,,,,13.99,,,,,,,,,,,,
G06002300102003,12.39,,,,,7.88,,7.35,,,,,,11.28,6.92,,,,,7.84,,4.03,4.03,,4.03,,,,,,,,,,,,,,,,,,,,12.39,,,,,,,,,,,,
G06002300103001,11.71,,12.72,,,7.2,,6.67,,,,12.38,,10.59,6.63,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,12.21,,11.71,,,,,,,,,,,,
G06002300103002,10.78,11.78,11.65,,,11.37,,11.9,,,,11.31,,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,,,11.2,,10.78,,,,,,,,,,,,
G06002300103003,6.4,7.4,7.27,,,,,,,,,6.94,,5.75,,,,,,,,,,,,7.28,,,,,,,,,,,,,6.85,6.94,,,6.82,,6.41,,,,,,,,,,,,
G06002300103004,7.87,8.87,8.74,,,,,,,,,8.4,,7.22,,,,,,,,,,,,8.74,,,,,,,,,,,,,8.32,8.4,,,8.29,,7.87,,,,,,,,,,,,
G06002300103005,17.61,18.61,18.48,,,,,,,,,18.14,,16.96,,,,,,,,,,,,18.49,,,,,,,,,,,,,18.06,18.15,,,18.03,,17.61,,,,,,,,,,,,
G06002300104001,7.41,,,,,2.9,,2.37,,,,,,6.29,1.87,,,,,2.86,,8.64,8.64,,8.64,,,,,,,,,,,,,,,,,,,,7.41,,,,,,,,,,,,
G06002300104002,9.16,,,,,4.65,,4.12,,,,,,8.04,4.05,,,,,4.61,,8.55,8.55,,8.55,,,,,,,,,,,,,,,,,,,,9.16,,,,,,,,,,,,
G06002300105011,6.21,,,,,2.1,,1.57,,,,,,5.09,0.56,,,,,1.99,,,,,,,,,,,,,,,,,,,6.66,,,,6.71,7.34,6.21,,,,,,,,,,,,
G06002300105012,5.8,,,,,1.3,,0.77,,,,,,4.69,0.49,,,,,1.26,,,,,,,,,,,,,,,,,,,6.26,,,,6.31,6.93,5.81,,,,,,,,,,,,
G06002300105013,4.77,,,,,0.89,,1.29,,,,,,3.66,1.48,,,,,0.91,,,,,,,,,,,,,,,,,,,5.22,,,,5.27,5.9,4.77,,,,,,,,,,,,
G06002300105014,4.89,,,,,1.65,,2.18,,,,,,3.78,2.29,,,,,1.95,,,,,,,,,,,,,,,,,,,5.34,,,,5.39,6.02,4.89,,,,,,,,,,,,
G06002300105021,5.68,,6.69,,,1.78,,2.31,,,,6.35,,4.56,3.32,,,,,2.08,,,,,,,,,,,,,,,,,,,6.13,,,,,,5.68,,,,,,,,,,,,
G06002300105022,4.01,,,,,1.38,,1.91,,,,,,2.89,2.87,,,,,1.68,,,,,,,,,,,,,,,,,,,4.46,,,,4.51,5.14,4.01,,,,,,,,,,,,
