trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-29206uzt1,4447,183-1,Little Tokyo/City West,"",0,293445,18751,
183-293amxrev,4444,183-1,Southbound,"",0,293469,16607,
183-29i502tmm,4446,183-1,Union Station/South Park,"",1,293472,18480,
183-29y5c19fu,4444,183-1,Northbound,"",1,293469,16606,
183-2aausjy3t,4444,183-3,Northbound,"",1,293545,16606,
183-2ab3f58cw,4446,183-1,Union Station/South Park,"",0,293474,17538,
183-2b45g09p1,4446,183-1,Union Station/South Park,"",0,293463,17538,
183-2c43bjqti,4444,183-1,Southbound,"",0,293485,16607,
183-2cqz033x5,4445,183-1,Southbound,"",0,293466,13220,
183-2cuynqfkl,4446,183-1,Union Station/South Park,"",0,293476,17538,
183-2eftwkmx8,4446,183-2,Union Station/South Park,"",0,293512,17538,
183-2gse4tabr,4446,183-2,Union Station/South Park,"",1,293512,18480,
183-2gugcq03m,4444,183-1,Northbound,"",1,293469,16606,
183-2hovw8b3i,4444,183-1,Northbound,"",1,293449,16606,
183-2ifhqgc7e,4446,183-1,Union Station/South Park,"",1,293476,18480,
183-2is9xceav,4443,183-1,Southbound,"",0,293455,12224,
183-2jcg6gyn7,4447,183-2,Little Tokyo/City West,"",0,293492,18751,
183-2lcmhvhv2,4446,183-2,Union Station/South Park,"",0,293516,17538,
183-2lmtUD7M-P,4445,183-3,Southbound,"",0,293534,13220,
183-2mjr0v445,4444,183-1,Southbound,"",0,293484,16607,
183-2odjjybs8,4445,183-1,Southbound,"",0,293468,13220,
183-2omcr88u0,4444,183-1,Southbound,"",0,293486,16607,
183-2ordvicff,4443,183-1,Southbound,"",0,293460,12224,
183-2p5105gfk,4443,183-1,Southbound,"",0,293457,12224,
183-2pnmxlc3t,4443,183-1,Southbound,"",0,293452,12224,
183-2qk4x8j54,4447,183-3,Little Tokyo/City West,"",0,293525,18751,
183-2t0NrF122e,4445,183-3,Southbound,"",0,293536,13220,
183-2t4u3hljz,4446,183-2,Union Station/South Park,"",0,293513,17538,
183-2tbm7gjng,4444,183-1,Northbound,"",1,293449,16606,
183-2tr4bxsa6,4446,183-1,Union Station/South Park,"",0,293459,17538,
183-2uyt8bxwf,4443,183-1,Southbound,"",0,293452,12224,
183-2wobnvldk,4444,183-1,Northbound,"",1,293487,16606,
183-2x97ie4ee,4446,183-2,Union Station/South Park,"",0,293517,17538,
183-2y8pi4oqs,4444,183-2,Southbound,"",0,293519,16607,
183-2z08p2prh,4446,183-1,Union Station/South Park,"",0,293475,17538,
183-2z1s50bs0,4445,183-1,Southbound,"",0,293464,13220,
183-306wp2np2,4445,183-1,Southbound,"",0,293461,13220,
183-30jqljooc,4447,183-1,Little Tokyo/City West,"",0,293448,18751,
183-326e1jwdu,4445,183-1,Southbound,"",0,293467,13220,
183-32f5vut02,4444,183-2,Southbound,"",0,293522,16607,
183-32qa6j2ur,4447,183-2,Little Tokyo/City West,"",0,293492,18751,
183-33jj2orr9,4447,183-1,Little Tokyo/City West,"",0,293446,18751,
183-33vzmlrsf,4446,183-1,Union Station/South Park,"",0,293453,17538,
183-34jl80wnu,4444,183-1,Southbound,"",0,293488,16607,
183-36iool5gt,4447,183-1,Little Tokyo/City West,"",0,293442,18751,
183-37te30fr8,4444,183-1,Southbound,"",0,293481,16607,
183-38jl1d4gw,4444,183-2,Northbound,"",1,293495,16606,
183-38oryv2qv,4443,183-1,Southbound,"",0,293460,12224,
183-39bbqicc0,4443,183-1,Southbound,"",0,293460,12224,
183-39n6jouza,4444,183-1,Southbound,"",0,293488,16607,
183-39wmr6b4s,4444,183-1,Northbound,"",1,293471,16606,
183-3abfh12jf,4445,183-1,Southbound,"",0,293467,13220,
183-3at5b6h53,4444,183-1,Northbound,"",1,293483,16606,
183-3b7p0kppz,4445,183-1,Southbound,"",0,293468,13220,
183-3bip0lud3,4444,183-1,Northbound,"",1,293480,16606,
183-3fyruuvk7,4446,183-2,Union Station/South Park,"",1,293515,18480,
183-3gddqy97h,4443,183-1,Southbound,"",0,293452,12224,
183-3ky627ofi,4444,183-3,Southbound,"",0,293546,16607,
183-3n9mj9ddw,4444,183-3,Northbound,"",1,293545,16606,
183-3nl04zk9g,4443,183-1,Southbound,"",0,293457,12224,
183-3p5201zka,4446,183-2,Union Station/South Park,"",0,293516,17538,
183-3pj1p0tu8,4444,183-1,Southbound,"",0,293481,16607,
183-3pnj67q7y,4444,183-1,Southbound,"",0,293471,16607,
183-3q2zgayju,4445,183-2,Southbound,"",0,293497,13220,
183-3qfqj7ena,4447,183-3,Little Tokyo/City West,"",0,293525,18751,
183-3rp4hhlp1,4444,183-2,Southbound,"",0,293519,16607,
183-3rpj95g56,4446,183-1,Union Station/South Park,"",1,293472,18480,
183-3tdgd10hy,4446,183-1,Union Station/South Park,"",1,293474,18480,
183-3tp8tvipp,4444,183-1,Southbound,"",0,293471,16607,
183-3vd0zot0y,4446,183-1,Union Station/South Park,"",0,293475,17538,
183-3xym4jq1u,4445,183-2,Southbound,"",0,293507,13220,
183-3z7f1mqdo,4444,183-1,Northbound,"",1,293484,16606,
183-40oxzolim,4443,183-1,Southbound,"",0,293460,12224,
183-40y5lej3t,4444,183-1,Northbound,"",1,293484,16606,
183-42irpfepc,4445,183-1,Southbound,"",0,293465,13220,
183-4388ypeu4,4446,183-2,Union Station/South Park,"",0,293516,17538,
183-43iq8k1ln,4444,183-1,Southbound,"",0,293479,16607,
183-43oqecp5h,4445,183-2,Southbound,"",0,293497,13220,
183-45acw91o4,4444,183-2,Southbound,"",0,293520,16607,
183-45et73m7t,4444,183-1,Southbound,"",0,293480,16607,
183-473jhsk0d,4443,183-3,Southbound,"",0,293530,12224,
183-48kstr3xv,4443,183-3,Southbound,"",0,293530,12224,
183-49suv6yts,4443,183-2,Southbound,"",0,293499,12224,
183-49wyl7xul,4443,183-1,Southbound,"",0,293455,12224,
183-49yfcgw49,4445,183-1,Southbound,"",0,293461,13220,
183-4ajg3cmc7,4447,183-1,Little Tokyo/City West,"",0,293448,18751,
183-4apxp0c59,4444,183-1,Northbound,"",1,293471,16606,
183-4b65q2mio,4444,183-1,Southbound,"",0,293478,16607,
183-4c55vhscj,4446,183-1,Union Station/South Park,"",1,293473,18480,
183-4cmmheq45,4444,183-1,Southbound,"",0,293480,16607,
183-4cmmum4m6,4445,183-1,Southbound,"",0,293465,13220,
183-4DqMCSE87RF,4446,183-3,Union Station/South Park,"",1,293541,18480,
183-4gzrtgr9b,4444,183-1,Northbound,"",1,293486,16606,
183-4i0bigax4,4444,183-1,Northbound,"",1,293482,16606,
183-4ib7b411s,4444,183-1,Southbound,"",0,293481,16607,
183-4jtgmjbpl,4446,183-1,Union Station/South Park,"",1,293474,18480,
183-4mathm3k4,4444,183-3,Northbound,"",1,293546,16606,
183-4n6qrjozp,4447,183-2,Little Tokyo/City West,"",0,293490,18751,
183-4n7i2dvyc,4443,183-3,Southbound,"",0,293531,12224,
