route_id,direction_id,direction
SR:3,1,Loop
SR:12,1,Loop
SR:10,1,Loop
SR:20,1,Loop
SR:1,1,Inbound
SR:1,0,Outbound
SR:40,1,Loop
GG:114,0,North
GG:114,1,South
GG:101,0,North
GG:101,1,South
GG:705,1,West
GG:704,1,West
GG:580,1,West
GG:580,0,East
GG:154,0,North
GG:154,1,South
GG:172,0,North
GG:172,1,South
GG:132,0,North
GG:132,1,South
GG:150,0,North
GG:150,1,South
GG:130,0,North
GG:130,1,South
MA:654,0,East
MA:651,1,South
MA:651,0,North
MA:613,1,West
MA:613,0,East
MA:625,0,East
MA:625,1,West
MA:645,0,North
MA:645,1,South
MA:619,1,West
MA:619,0,East
MA:17,0,North
MA:17,1,South
MA:36,1,South
MA:36,0,North
MA:23X,1,West
MA:23X,0,East
MA:71,0,North
MA:71,1,South
MA:49,1,South
MA:49,0,North
MA:35,0,North
MA:35,1,South
MA:23,1,West
MA:23,0,East
MA:29,1,West
MA:29,0,East
MA:22,0,North
MA:22,1,South
MA:233,0,North
MA:233,1,South
MA:61,0,East
MA:61,1,West
MA:68,0,East
MA:68,1,West
MA:228,0,East
MA:228,1,West
MA:245,1,South
MA:245,0,North
MA:251,1,South
MA:251,0,North
MA:219,0,East
MA:219,1,West
MA:257,1,South
MA:257,0,North
VN:29,1,South
VN:29,0,North
VN:E,0,Loop
VN:W,1,Counterclockwise
VN:W,0,Clockwise
VN:11X,1,South
VN:11X,0,North
VN:N,0,North
VN:N,1,South
VN:S,1,East
VN:S,0,West
VN:10,1,South
VN:10,0,North
VN:11,0,North
VN:11,1,South
VN:21,0,West
VN:21,1,East
CC:35,1,North
CC:35,0,South
CC:10,0,East
CC:10,1,West
CC:17,1,South
CC:17,0,North
CC:18,0,South
CC:18,1,North
CC:20,1,West
CC:20,0,East
CC:15,1,West
CC:15,0,East
CC:21,1,North
CC:21,0,South
CC:28,1,North
CC:28,0,South
CC:16,1,South
CC:16,0,North
CC:310,1,West
CC:310,0,East
CC:316,1,South
CC:316,0,North
CC:320,1,West
CC:320,0,East
CC:98X,1,North
CC:98X,0,South
CC:311,1,West
CC:311,0,East
CC:7,0,Loop
CC:314,1,East
CC:314,0,West
CC:9,0,South
CC:9,1,North
CC:91X,1,Outbound
CC:315,0,Loop
CC:5,0,South
CC:5,1,North
CC:6,0,East
CC:6,1,West
CC:92X,0,South
CC:92X,1,North
CC:93X,1,East
CC:93X,0,West
CC:95X,0,Loop
CC:96X,0,Loop
CC:301,0,Loop
CC:14,1,North
CC:14,0,South
CC:27,1,Outbound
CC:335,0,South
CC:335,1,North
CC:11,1,West
CC:11,0,East
CC:97X,0,Loop
CC:19,1,North
CC:19,0,South
CC:321,0,South
CC:321,1,North
CC:4,0,Loop
CC:99X,0,Inbound
CC:99X,1,Outbound
CC:1,1,North
CC:1,0,South
CC:635,1,Outbound
CC:636,1,Outbound
CC:636,0,Inbound
CC:601,1,Outbound
CC:601,0,Inbound
CC:602,0,Inbound
CC:602,1,Outbound
CC:605,1,Outbound
CC:605,0,Inbound
CC:606,0,Inbound
CC:606,1,Outbound
CC:608,1,Outbound
CC:608,0,Inbound
CC:611,1,Outbound
CC:611,0,Inbound
CC:612,0,Inbound
CC:612,1,Outbound
CC:613,1,Outbound
