,blockgroup,hub
897,G06000104226001,433769471
898,G06000104226001,45303398
899,G06000104226001,45303399
900,G06000104226001,479030247
901,G06000104227001,226852758
902,G06000104227001,286961510
903,G06000104227001,400277094
904,G06000104227001,433769471
905,G06000104227001,45303398
906,G06000104227001,45303399
907,G06000104227001,479030247
908,G06000104227002,226852758
909,G06000104227002,286961510
910,G06000104227002,400277094
911,G06000104227002,433769471
912,G06000104227002,45303398
913,G06000104227002,45303399
914,G06000104227002,479030247
915,G06000104227003,226852758
916,G06000104227003,286961510
917,G06000104227003,400277094
918,G06000104227003,433769471
919,G06000104227003,45303398
920,G06000104227003,45303399
921,G06000104227003,479030247
922,G06000104228001,226852758
923,G06000104228001,286961510
924,G06000104228001,400277094
925,G06000104228001,433769471
926,G06000104228001,45303398
927,G06000104228001,45303399
928,G06000104228001,479030247
929,G06000104228002,226852758
930,G06000104228002,286961510
931,G06000104228002,400277094
932,G06000104228002,433769471
933,G06000104228002,45303398
934,G06000104228002,45303399
935,G06000104228002,479030247
936,G06000104228003,226852758
937,G06000104228003,286961510
938,G06000104228003,400277094
939,G06000104228003,433769471
940,G06000104228003,45303398
941,G06000104228003,45303399
942,G06000104228003,479030247
943,G06000104229001,226852758
944,G06000104229001,286961510
945,G06000104229001,400277094
946,G06000104229001,433769471
947,G06000104229001,45303398
948,G06000104229001,45303399
949,G06000104229001,479030247
950,G06000104229002,226852758
951,G06000104229002,286961510
952,G06000104229002,400277094
953,G06000104229002,433769471
954,G06000104229002,45303398
955,G06000104229002,45303399
956,G06000104229002,479030247
957,G06000104230001,226852758
958,G06000104230001,286961510
959,G06000104230001,400277094
960,G06000104230001,433769471
961,G06000104230001,45303398
962,G06000104230001,45303399
963,G06000104230001,479030247
964,G06000104230002,226852758
965,G06000104230002,286961510
966,G06000104230002,400277094
967,G06000104230002,433769471
968,G06000104230002,45303398
969,G06000104230002,45303399
970,G06000104230002,479030247
971,G06000104230003,226852758
972,G06000104230003,286961510
973,G06000104230003,400277094
974,G06000104230003,433769471
975,G06000104230003,45303398
976,G06000104230003,45303399
977,G06000104230003,479030247
978,G06000104231001,226852758
979,G06000104231001,286961510
980,G06000104231001,400277094
981,G06000104231001,433769471
982,G06000104231001,45303398
983,G06000104231001,45303399
984,G06000104231001,479030247
985,G06000104231002,226852758
986,G06000104231002,286961510
987,G06000104231002,400277094
988,G06000104231002,433769471
989,G06000104231002,45303398
990,G06000104231002,45303399
991,G06000104231002,479030247
992,G06000104231003,226852758
993,G06000104231003,286961510
994,G06000104231003,400277094
